word,translation
Race Condition,Race Condition
Semaphore,Semaforo
Mutex,Mutex
Compiler Optimization,Ottimizzazione del compilatore
Assembly Language,Linguaggio assembly
Machine Code,Codice macchina
Bytecode,Bytecode
Just-In-Time Compilation,Compilazione Just-In-Time
Ahead-Of-Time Compilation,Compilazione Ahead-Of-Time
Garbage Collection,Garbage Collection
Memory Leak,Perdita di memoria
Buffer Overflow,Buffer Overflow
Stack Overflow (Error),Stack Overflow (Errore)
Heap (Memory),Heap (Memoria)
Stack (Memory),Stack (Memoria)
Recursion,Ricorsione
Iteration,Iterazione
Data Structure,Struttura dati
Sorting Algorithm,Algoritmo di ordinamento
Search Algorithm,Algoritmo di ricerca
Graph Algorithm,Algoritmo di grafo
Dynamic Programming,Programmazione dinamica
Greedy Algorithm,Algoritmo greedy
Divide and Conquer,Divide et impera
Brute Force,Forza bruta
Heuristic,Euristiche
Regular Expression,Espressione regolare
Parser,Parser
Lexer,Lexer
Abstract Syntax Tree,Abstract Syntax Tree
Linker,Linker
Loader,Loader
Kernel Module,Modulo del kernel
Device Driver,Driver di dispositivo
Interrupt,Interrupt
System Call,Chiamata di sistema
Real-Time Operating System,Sistema operativo real-time
Embedded System,Sistema embedded
Firmware Update,Aggiornamento firmware
Over-the-Air Update,Aggiornamento Over-the-Air
Side Loading,Side Loading
Jailbreaking,Jailbreaking
Rooting,Rooting
Custom ROM,ROM personalizzata
Bloatware,Bloatware
Adware,Adware
Spyware,Spyware
Keylogger,Keylogger
Botnet,Botnet
DDoS Attack,Attacco DDoS
Man-in-the-Middle Attack,Attacco man-in-the-middle
SQL Injection,SQL Injection
Cross-Site Scripting (XSS),Cross-Site Scripting (XSS)
Cross-Site Request Forgery (CSRF),Cross-Site Request Forgery (CSRF)
Security Patch,Patch di sicurezza
Vulnerability,Vulnerabilità
Exploit,Exploit
Zero-Day Exploit,Exploit zero-day
Security Audit,Audit di sicurezza
Penetration Testing,Penetration Testing
Ethical Hacking,Hacking etico
Digital Forensics,Digital Forensics
Sandbox,Sandbox
Honeypot,Honeypot
Firewall Policy,Politica del firewall
Intrusion Detection System,Sistema di rilevamento delle intrusioni
Intrusion Prevention System,Sistema di prevenzione delle intrusioni
Security Information and Event Management,Security Information and Event Management
Access Control List,Access Control List
Role-Based Access Control,Controllo degli accessi basato sui ruoli
Principle of Least Privilege,Principio del minimo privilegio
Defense in Depth,Difesa in profondità
Zero Trust Security,Sicurezza Zero Trust
Biometric Authentication,Autenticazione biometrica
Smart Card,Smart Card
Public Key Infrastructure,Infrastruttura a chiave pubblica
Certificate Authority,Autorità di certificazione
Digital Certificate,Certificato digitale
End-to-End Encryption,Crittografia end-to-end
Homomorphic Encryption,Crittografia omomorfica
Quantum Cryptography,Crittografia quantistica
Steganography,Steganografia
Data Mining,Data Mining
Data Warehousing,Data Warehousing
Data Lake,Data Lake
ETL (Extract, Transform, Load),ETL (Extract, Transform, Load)
Data Visualization,Visualizzazione dei dati
Business Intelligence,Business Intelligence
Predictive Analytics,Analisi predittiva
Natural Language Processing,Elaborazione del linguaggio naturale
Computer Vision,Visione artificiale
Robotics,Robotica
Neural Network,Rete neurale
Deep Learning,Deep Learning
Reinforcement Learning,Apprendimento per rinforzo
Supervised Learning,Apprendimento supervisionato
Unsupervised Learning,Apprendimento non supervisionato
Transfer Learning,Transfer Learning
Generative Adversarial Network,Generative Adversarial Network
Model Training,Addestramento del modello
Dataset,Dataset
Feature Engineering,Feature Engineering
Overfitting,Overfitting
Underfitting,Underfitting
Hyperparameter Tuning,Ottimizzazione degli iperparametri
A/B Testing,A/B Testing
Web Scraping,Web Scraping
Data Cleansing,Pulizia dei dati
Data Wrangling,Data Wrangling
No-Code Platform,Piattaforma No-Code
Low-Code Platform,Piattaforma Low-Code
Progressive Web App,Progressive Web App
Single-Page Application,Single-Page Application
Micro-frontend,Micro-frontend
WebAssembly,WebAssembly
GraphQL,GraphQL
REST API,API REST
SOAP API,API SOAP
Webhook,Webhook
Cron Tab,Cron Tab
