Markdown,Markdown
JSON,JSON
XML,XML
YAML,YAML
CSV (Comma-Separated Values),CSV (Comma-Separated Values)
SQL (Structured Query Language),SQL (Structured Query Language)
NoSQL,NoSQL
LAMP Stack,LAMP-Stack
MEAN Stack,MEAN-Stack
MERN Stack,MERN-Stack
Serverless,Serverless
Edge Computing,Edge Computing
Digital Signature,Digitale Signatur
Two-Factor Authentication,Zwei-Faktor-Authentifizierung
Multi-Factor Authentication,Multi-Faktor-Authentifizierung
Firewall Log,Firewall-Log
System Log,System-Log
Error Message,Fehlermeldung
Warning Message,Warnmeldung
Notification,Benachrichtigung
Dashboard,Dashboard
Configuration,Konfiguration
Deployment,Bereitstellung
Scalability,Skalierbarkeit
Reliability,Zuverlässigkeit
Availability,Verfügbarkeit
Performance,Leistung
Latency,Latenz
Throughput,Durchsatz
Benchmark,Benchmark
Profiling,Profiling
Optimization,Optimierung
Refactoring,Refactoring
Version Control,Versionskontrolle
Continuous Integration,Kontinuierliche Integration
Continuous Delivery,Kontinuierliche Bereitstellung
Continuous Deployment,Kontinuierliche Bereitstellung
Testing,Testen
Unit Test,Unit-Test
Integration Test,Integrationstest
End-to-End Test,End-to-End-Test
Acceptance Test,Akzeptanztest
Regression Test,Regressionstest
Load Test,Lasttest
Stress Test,Stresstest
Penetration Test,Penetrationstest
White Box Testing,White-Box-Testing
Black Box Testing,Black-Box-Testing
Gray Box Testing,Gray-Box-Testing
Framework Laptop,Framework Laptop
Raspberry Pi,Raspberry Pi
Arduino,Arduino
Web Browser,Webbrowser
Search Engine,Suchmaschine
Social Media,Soziale Medien
Blog,Blog
Podcast,Podcast
Webinar,Webinar
Streaming,Streaming
Download,Download
Upload,Upload
Screenshot,Screenshot
Screencast,Screencast
Drag and Drop,Drag & Drop
Copy Paste,Kopieren und Einfügen
Cut Paste,Ausschneiden und Einfügen
Undo,Rückgängig machen
Redo,Wiederholen
Save,Speichern
Open,Öffnen
Print,Drucken
Exit,Beenden
Login,Anmelden
Logout,Abmelden
Sign up,Registrieren
Password,Passwort
Username,Benutzername
Email,E-Mail
Spam,Spam
Junk Mail,Junk-Mail
Inbox,Posteingang
Outbox,Postausgang
Draft,Entwurf
Archive,Archiv
Trash,Mülleimer
Recycle Bin,Papierkorb
Desktop,Desktop
Icon,Symbol
Shortcut,Verknüpfung
Taskbar,Taskleiste
Menu,Menü
Window,Fenster
Tab,Tab
Toolbar,Toolbar
Scrollbar,Scrollleiste
Hyperlink,Hyperlink
Bookmark,Lesezeichen
Browser Extension,Browser-Erweiterung
Add-on,Add-on
Dark Web,Darknet
Deep Web,Deep Web
Surface Web,Surface Web
Intranet,Intranet
Extranet,Extranet
Peer-to-Peer,Peer-to-Peer
Client-Server Model,Client-Server-Modell
Domain Registrar,Domain-Registrar
Web Hosting,Webhosting
Shared Hosting,Shared Hosting
Dedicated Server,Dedizierter Server
VPS (Virtual Private Server),VPS (Virtual Private Server)
Content Delivery Network,Content Delivery Network
Bandwidth Cap,Bandbreitenbegrenzung
Data Cap,Datenvolumenbegrenzung
Ping,Ping
Traceroute,Traceroute
IPConfig,IPConfig
Ifconfig,Ifconfig
Netstat,Netstat
Task Manager,Task-Manager
Activity Monitor,Aktivitätsanzeige
System Monitor,Systemüberwachung
Command Prompt,Eingabeaufforderung
PowerShell,PowerShell
Bash,Bash
Zsh,Zsh
Fish Shell,Fish Shell
Shell Script,Shell-Skript
Cron Job,Cron-Job
Daemon,Daemon
Service,Dienst
Process,Prozess
Thread,Thread
Multithreading,Multithreading
Multiprocessing,Multiprocessing
Deadlock,Deadlock
Race Condition,Race Condition
Semaphore,Semaphor
Mutex,Mutex
Compiler Optimization,Compiler-Optimierung
Assembly Language,Assemblersprache
Machine Code,Maschinencode
Bytecode,Bytecode
Just-In-Time Compilation,Just-In-Time-Kompilierung
Ahead-Of-Time Compilation,Ahead-Of-Time-Kompilierung
Garbage Collection,Garbage Collection
Memory Leak,Speicherleck
Buffer Overflow,Pufferüberlauf
Stack Overflow (Error),Stack-Overflow (Fehler)
Heap (Memory),Heap (Speicher)
Stack (Memory),Stack (Speicher)
Recursion,Rekursion
Iteration,Iteration
Data Structure,Datenstruktur
Sorting Algorithm,Sortieralgorithmus
Search Algorithm,Suchalgorithmus
Graph Algorithm,Graph-Algorithmus
Dynamic Programming,Dynamische Programmierung
Greedy Algorithm,Greedy-Algorithmus
Divide and Conquer,Teile und Herrsche
Brute Force,Brute Force
Heuristic,Heuristik
Regular Expression,Regulärer Ausdruck
Parser,Parser
Lexer,Lexer
Abstract Syntax Tree,Abstrakter Syntaxbaum
Linker,Linker
Loader,Loader
Kernel Module,Kernelmodul
Device Driver,Gerätetreiber
Interrupt,Interrupt
System Call,Systemaufruf
Real-Time Operating System,Echtzeit-Betriebssystem
Embedded System,Eingebettetes System
Firmware Update,Firmware-Update
Over-the-Air Update,Over-the-Air-Update
Side Loading,Sideloading
Jailbreaking,Jailbreaking
Rooting,Rooting
Custom ROM,Custom-ROM
Bloatware,Bloatware
Adware,Adware
Spyware,Spyware
Keylogger,Keylogger
Botnet,Botnet
DDoS Attack,DDoS-Angriff
Man-in-the-Middle Attack,Man-in-the-Middle-Angriff
SQL Injection,SQL-Injection
Cross-Site Scripting (XSS),Cross-Site-Scripting (XSS)
Cross-Site Request Forgery (CSRF),Cross-Site-Request-Forgery (CSRF)
Security Patch,Sicherheitspatch
Vulnerability,Schwachstelle
Exploit,Exploit
Zero-Day Exploit,Zero-Day-Exploit
Security Audit,Sicherheitsaudit
Penetration Testing,Penetrationstests
Ethical Hacking,Ethisches Hacking
Digital Forensics,Digitale Forensik
Sandbox,Sandbox
Honeypot,Honeypot
Firewall Policy,Firewall-Regelwerk
Intrusion Detection System,Intrusion Detection System
Intrusion Prevention System,Intrusion Prevention System
Security Information and Event Management,Security Information and Event Management
Access Control List,Access Control List
Role-Based Access Control,Rollenbasierte Zugriffskontrolle
Principle of Least Privilege,Prinzip der geringsten Privilegien
Defense in Depth,Defense in Depth
Zero Trust Security,Zero Trust Security
Biometric Authentication,Biometrische Authentifizierung
Smart Card,Smartcard
Public Key Infrastructure,Public Key Infrastructure
Certificate Authority,Zertifizierungsstelle
Digital Certificate,Digitales Zertifikat
End-to-End Encryption,End-to-End-Verschlüsselung
Homomorphic Encryption,Homomorphe Verschlüsselung
Quantum Cryptography,Quantenkryptographie
Steganography,Steganographie
Data Mining,Data Mining
Data Warehousing,Data Warehousing
Data Lake,Data Lake
ETL (Extract, Transform, Load),ETL (Extrahieren, Transformieren, Laden)
Data Visualization,Datenvisualisierung
Business Intelligence,Business Intelligence
Predictive Analytics,Prädiktive Analytik
Natural Language Processing,Natürliche Sprachverarbeitung
Computer Vision,Computer Vision
Robotics,Robotik
Neural Network,Neuronales Netz
Deep Learning,Deep Learning
Reinforcement Learning,Reinforcement Learning
Supervised Learning,Überwachtes Lernen
Unsupervised Learning,Unüberwachtes Lernen
Transfer Learning,Transferlernen
Generative Adversarial Network,Generatives Adversarial Network
Model Training,Modelltraining
Dataset,Datensatz
Feature Engineering,Feature Engineering
Overfitting,Overfitting
Underfitting,Underfitting
Hyperparameter Tuning,Hyperparameter-Tuning
A/B Testing,A/B-Test
Web Scraping,Web Scraping
Data Cleansing,Datenbereinigung
Data Wrangling,Datenaufbereitung
No-Code Platform,No-Code-Plattform
Low-Code Platform,Low-Code-Plattform
Progressive Web App,Progressive Web App
Single-Page Application,Single-Page-Anwendung
Micro-frontend,Micro-Frontend
WebAssembly,WebAssembly
GraphQL,GraphQL
REST API,REST-API
SOAP API,SOAP-API
Webhook,Webhook
Cron Tab,Cron-Tab
